Osobní číslo,Jméno,Věk,Město,Plat,Pozice,Oddělení,Telefon,Email,Datum nástupu
1,Anastázie Vávrová,43,Hulín,55476,Asistent,HR,339670711,vavradusan@example.net,2023-02-11
2,Renáta Beránková,42,Chotěboř,71977,Projektový manažer,Administrativa,334760738,pokornyantonin@example.net,2018-10-12
3,Žofie Matějková,48,Milevsko,40761,Technik,IT,732719211,agatavlckova@example.org,2022-10-09
4,Ivan Hrubý,59,Chyše,41761,Konzultant,Administrativa,199585092,jozef55@example.net,2019-04-21
5,Vojtěch Prokop,22,České Budějovice,65240,Konzultant,Finanční,506448196,ruzickovalydie@example.net,2022-02-19
6,Jarmila Urbanová,41,Brtnice,55089,Asistent,Prodej,810026086,zemanmilan@example.org,2024-01-12
7,Nikola Kolářová,48,Radnice,71902,Specialista,HR,995619255,jakubmachacek@example.com,2018-11-12
8,Ctirad Strnad,46,Náměšť nad Oslavou,64697,Konzultant,Stavba,882893941,hajekvratislav@example.com,2019-05-07
9,Judita Tichá,34,Vimperk,67125,Projektový manažer,Prodej,924970419,janeckovaandrea@example.com,2020-05-25
10,Oldřich Hrubý,51,Libčice nad Vltavou,59952,Technik,Podpora,790256940,qkonecny@example.org,2019-02-28
11,Lada Veselá,26,Úpice,67898,Koordinátor,Finanční,726563708,julie32@example.net,2021-02-19
12,Edita Fišerová,55,Třebechovice pod Orebem,47069,Koordinátor,Podpora,830661141,filip66@example.net,2025-02-26
13,Alena Tichá,38,Sedlec-Prčice,56814,Ředitel,Podpora,676567501,miloslavadolezalova@example.com,2020-08-31
14,Martin Pokorný,46,Nepomuk,78349,Asistent,Výroba,214257751,vlastastejskalova@example.org,2018-05-30
15,Žaneta Žáková,53,Police nad Metují,57588,Asistent,HR,448059918,hberan@example.com,2024-03-20
16,Mahulena Jarošová,28,Hrádek,66994,Manažer,Podpora,709194872,buresovaveronika@example.org,2025-01-04
17,Emilie Dušková,50,Švihov,59280,Specialista,Prodej,690347116,kadlecteodor@example.org,2024-08-14
18,Jindřiška Vacková,26,Lipník nad Bečvou,46879,Koordinátor,Kvalita,821218382,vilempospisil@example.com,2018-02-26
19,Peter Bednář,45,Plánice,40211,Technik,Prodej,336456621,brozovablazena@example.org,2017-09-22
20,Patrik Brož,41,Jevišovice,61733,Manažer,HR,818309417,imoravec@example.org,2022-12-22
21,Tereza Jelínková,36,Unhošť,75639,Specialista,Prodej,537077308,cermakdominik@example.net,2020-08-20
22,Václav Vaněk,43,Rychnov u Jablonce nad Nisou,50590,Manažer,Výroba,801642483,blahovapavla@example.net,2019-11-26
23,Kristina Horáková,41,Nýrsko,69393,Specialista,Výroba,581695135,moravecjiri@example.com,2020-11-20
24,Dana Müllerová,48,Brušperk,76051,Asistent,Prodej,800235246,fbenes@example.org,2018-07-08
25,Bc. Stanislav Bláha,60,Ledeč nad Sázavou,65056,Asistent,Podpora,102314313,andela74@example.com,2022-10-05
26,Veronika Fišerová,53,Kamenice nad Lipou,51345,Specialista,Kvalita,333754555,slavikovazaneta@example.org,2023-03-04
27,Zbyněk Pokorný,25,Buštěhrad,72363,Ředitel,IT,645276696,horackovabozena@example.net,2017-09-24
28,Pavla Dostálová,32,Planá nad Lužnicí,57002,Manažer,Stavba,738360085,svobodovadaniela@example.com,2022-06-12
29,Marie Kadlecová,47,Rudná,75971,Projektový manažer,Finanční,869005091,ludekkadlec@example.com,2018-03-27
30,Světlana Kratochvílová,42,Bavorov,72487,Konzultant,Podpora,592080329,gkubickova@example.org,2021-06-27
31,Erika Kubíčková,58,Zdice,50032,Projektový manažer,Podpora,362298393,michalhajek@example.com,2023-11-10
32,Štěpánka Bártová,51,Šenov,47791,Analytik,Podpora,812308209,dvorakovalada@example.org,2024-04-21
33,Hana Kašparová,51,Postoloprty,71684,Manažer,HR,326161867,kareltichy@example.net,2024-01-05
34,Kristýna Bílková,49,Rabí,55984,Analytik,Marketing,554811020,annabartosova@example.com,2023-05-11
35,Lada Hájková,34,Opava,65705,Analytik,Stavba,857704655,ales11@example.net,2024-06-02
36,Nela Slavíková,24,Lázně Bělohrad,71437,Projektový manažer,HR,236843584,kralovanatalie@example.org,2024-05-18
37,Lumír Švec,25,Kraslice,77535,Technik,Finanční,937643439,nberankova@example.net,2018-06-04
38,Hedvika Holubová,27,Blšany,75365,Projektový manažer,Marketing,292587044,svatoslavsvec@example.net,2023-09-04
39,Eduard Malý,60,Vratimov,66372,Projektový manažer,Kvalita,605399561,horakvojtech@example.com,2019-08-18
40,Kamila Jandová,54,Roztoky,41844,Koordinátor,Prodej,307371533,helena41@example.com,2019-12-31
41,Zdislava Krejčová,48,Deštná,44251,Asistent,Podpora,380477683,soukupmartin@example.org,2018-01-20
42,Oldřich Müller,59,Letovice,40749,Specialista,Prodej,719106699,jezekbohumil@example.net,2020-09-04
43,Zdislava Tichá,45,Krásno,67810,Ředitel,Stavba,563102056,stepankovamichaela@example.net,2019-09-13
44,Magdalena Pešková,35,Rtyně v Podkrkonoší,40613,Manažer,Výroba,538508549,slavomirtuma@example.com,2021-08-15
45,Robin Tesař,39,Protivín,60660,Technik,Prodej,711072118,pavlaruzickova@example.org,2019-08-14
46,Otakar Němeček,59,Mikulov,78184,Konzultant,Administrativa,825449223,polakvitezslav@example.net,2018-07-18
47,Pavel Čech,31,Rychnov u Jablonce nad Nisou,45106,Ředitel,Podpora,433310361,horakignac@example.org,2017-07-23
48,MVDr. Dagmar Navrátilová,34,Zlín,75521,Technik,Stavba,776205431,tmarek@example.net,2020-04-04
49,Ignác Šťastný,34,Zásmuky,64902,Analytik,Stavba,906341966,zakovarenata@example.org,2018-08-05
50,Zdeňka Němcová,36,Osečná,79589,Koordinátor,Stavba,367574609,navratilovaester@example.com,2022-07-12
51,Markéta Vítková Th.D.,34,Velký Šenov,63118,Analytik,Finanční,688273030,vkratochvil@example.com,2020-10-15
52,Leona Zemanová,27,Přeštice,45228,Koordinátor,Prodej,356888294,simonabrozova@example.net,2019-06-22
53,Ondřej Růžička,41,Dubá,50631,Konzultant,Podpora,261953189,marekivan@example.net,2018-11-25
54,Patrik Růžička,27,Lovosice,65558,Technik,Podpora,166857303,matousekrostislav@example.net,2024-10-03
55,Robin Novotný,44,Štíty,45781,Asistent,HR,477698143,oliviematejkova@example.net,2023-03-03
56,Judita Novotná,31,Javorník,79622,Manažer,Finanční,567975319,yblaha@example.com,2022-07-16
57,Ilona Němcová,51,Přelouč,56462,Technik,Podpora,673510887,maresovaanastazie@example.org,2022-05-01
58,Vratislav Holub,29,Jablonné v Podještědí,60191,Projektový manažer,Administrativa,507059676,krystofnemec@example.com,2019-11-21
59,Libuše Vítková,29,Ivančice,42573,Koordinátor,Administrativa,996478772,nemeckovaalice@example.net,2021-07-03
60,Mgr. Julie Šmídová CSc.,25,Svratka,62033,Specialista,Podpora,133318206,horakalois@example.net,2018-05-29
61,Erik Sedlák,51,Mnichovice,41094,Asistent,Prodej,851044796,nelahavlickova@example.net,2022-01-17
62,Elena Žáková,40,Železný Brod,54557,Ředitel,Podpora,433975497,slavikovaanastazie@example.com,2021-10-17
63,Nikol Marešová,51,Březnice,49121,Konzultant,Stavba,735760237,cernymiroslav@example.net,2021-12-28
64,Blahoslav Kučera,58,Rožmberk nad Vltavou,66487,Konzultant,Kvalita,497897455,peskovamiloslava@example.org,2023-12-26
65,Drahoslava Moravcová,35,Radnice,66777,Manažer,Administrativa,989817696,jsevcikova@example.com,2018-08-06
66,Lenka Strnadová,40,Mnichovice,41039,Manažer,Finanční,567694547,uprokop@example.org,2023-11-01
67,Vlasta Jelínek,50,Pec pod Sněžkou,79644,Analytik,Finanční,755338677,iva07@example.com,2018-08-23
68,Marian Kubíček,29,Zdice,50416,Koordinátor,Finanční,740116562,alenapokorna@example.org,2017-11-15
69,Věra Říhová,53,Sezemice,57085,Konzultant,Kvalita,611201082,ydolezalova@example.org,2017-12-06
70,Lukáš Král,26,Mohelnice,66656,Projektový manažer,HR,694287057,btoman@example.net,2021-08-04
71,Vlastimil Kašpar,36,Ivanovice na Hané,57297,Ředitel,Podpora,347538338,valentovajarmila@example.com,2018-02-22
72,Ivona Horáková,34,Stráž pod Ralskem,71749,Ředitel,Kvalita,619904272,zuzanastankova@example.com,2025-01-12
73,Lýdie Janečková,26,Hluboká nad Vltavou,49184,Koordinátor,Podpora,424557359,urbanovasarka@example.org,2019-05-20
74,Ludmila Tůmová,52,Rajhrad,55039,Manažer,Podpora,908304440,ahorvath@example.net,2019-06-18
75,Petr Holub,45,Ivančice,56733,Konzultant,Kvalita,612957813,blazkovapatricie@example.com,2017-10-12
76,Barbora Fišerová,46,Valtice,41936,Specialista,Stavba,704344408,danusejelinkova@example.org,2021-08-26
77,Libor Žák,60,Milovice,42699,Asistent,Stavba,575368059,romanakralova@example.net,2022-02-26
78,Dorota Vlčková,23,Přeštice,72480,Ředitel,Podpora,326586581,danielahajkova@example.org,2018-07-30
79,Adam Matějka,37,Semily,59662,Ředitel,Marketing,737599912,csoukup@example.org,2019-06-29
80,Vlastimil Brož,55,České Velenice,74641,Projektový manažer,Výroba,384063364,zprochazkova@example.org,2020-08-03
81,Gabriela Kašparová,37,Bělá nad Radbuzou,66423,Ředitel,Finanční,164035859,kralmikulas@example.com,2018-03-08
82,Pavla Kašparová,43,Meziboří,78026,Ředitel,Výroba,186373782,bbures@example.net,2019-10-07
83,Dobroslav Janda,50,Teplice,58138,Ředitel,Výroba,821856853,anezkavlckova@example.org,2020-12-13
84,Libuše Horáčková,33,Radnice,78607,Manažer,Stavba,974288855,eholub@example.com,2020-06-15
85,Dušan Hájek,47,Lomnice nad Popelkou,68159,Ředitel,Finanční,844826434,qslavik@example.com,2023-09-12
86,Stanislava Čechová,56,Ivančice,68542,Asistent,HR,447112584,zemanovapavla@example.net,2023-10-15
87,Vratislav Matějka,27,Hora Svaté Kateřiny,67483,Asistent,Stavba,656670062,stepansevcik@example.com,2023-04-08
88,František Konečný,46,Zdice,49154,Analytik,Podpora,849740261,bjelinek@example.net,2022-01-22
89,Ivo Král,59,Opava,41253,Asistent,Podpora,538076670,jandovaelena@example.com,2024-10-06
90,Hana Pavlíková,29,Netolice,48971,Analytik,Podpora,857429971,radkanovakova@example.com,2019-02-20
91,Nora Horáková,23,Vysoké Veselí,57038,Specialista,Finanční,174958005,radkakrizova@example.net,2019-04-29
92,Miloš Staněk,22,Vysoké nad Jizerou,65941,Konzultant,HR,259553112,ekopecka@example.com,2019-11-06
93,Nikol Navrátilová,55,Vítkov,59386,Ředitel,Finanční,302563940,slavikroman@example.org,2024-01-14
94,Ondřej Veselý,56,Slavonice,58095,Projektový manažer,IT,971243675,lenka27@example.org,2018-03-13
95,Michaela Čermáková,22,Chvaletice,61501,Technik,Výroba,664735673,ubenes@example.org,2020-06-19
96,Hana Brožová,46,Trmice,70295,Specialista,Stavba,384566044,samuelstastny@example.org,2024-01-01
97,Šárka Machová,38,Přeštice,54685,Specialista,Kvalita,871716956,ckovarova@example.net,2017-09-25
98,Lucie Janečková,60,Manětín,54435,Manažer,Marketing,205702499,mullerovailona@example.net,2019-08-02
99,Oto Bláha,42,Kryry,66575,Specialista,IT,502482554,milan38@example.com,2021-09-18
100,Irena Holubová,59,Praha,52471,Projektový manažer,Výroba,510753814,pslavikova@example.com,2024-06-28
101,Vratislav Šimek,36,Mirošov,60357,Ředitel,Marketing,374154962,nemcovalucie@example.net,2021-07-24
102,Přemysl Staněk,50,Ralsko,55898,Konzultant,HR,555598254,stanislavakovarova@example.org,2025-03-08
103,Drahoslava Jarošová,47,Petřvald,76451,Technik,Administrativa,485429460,sstanek@example.com,2017-05-13
